Ping:,26.992,ms,Download:,91.80,Mbit/s,Upload:,14.31,Mbit/s,2016-11-24 13:36:25
Ping:,24.532,ms,Download:,88.19,Mbit/s,Upload:,14.12,Mbit/s,2016-11-24 13:36:55
Ping:,20.225,ms,Download:,59.86,Mbit/s,Upload:,14.11,Mbit/s,2016-11-24 13:37:25
Ping:,19.332,ms,Download:,91.81,Mbit/s,Upload:,14.22,Mbit/s,2016-11-24 13:37:57
Ping:,22.494,ms,Download:,92.05,Mbit/s,Upload:,14.08,Mbit/s,2016-11-24 13:38:27
Ping:,17.586,ms,Download:,91.88,Mbit/s,Upload:,14.18,Mbit/s,2016-11-24 13:39:01
Ping:,21.835,ms,Download:,92.18,Mbit/s,Upload:,14.07,Mbit/s,2016-11-24 13:39:30
Ping:,20.464,ms,Download:,92.05,Mbit/s,Upload:,14.13,Mbit/s,2016-11-24 13:40:00
Ping:,19.293,ms,Download:,90.79,Mbit/s,Upload:,14.14,Mbit/s,2016-11-24 13:40:30
Ping:,20.354,ms,Download:,92.64,Mbit/s,Upload:,14.07,Mbit/s,2016-11-24 13:41:00
Ping:,19.01,ms,Download:,91.86,Mbit/s,Upload:,14.38,Mbit/s,2016-11-24 13:41:30
Ping:,18.092,ms,Download:,92.24,Mbit/s,Upload:,14.23,Mbit/s,2016-11-24 13:42:00
Ping:,18.137,ms,Download:,91.64,Mbit/s,Upload:,14.32,Mbit/s,2016-11-24 13:42:30
Ping:,18.344,ms,Download:,92.85,Mbit/s,Upload:,14.20,Mbit/s,2016-11-24 13:43:00
Ping:,23.328,ms,Download:,92.21,Mbit/s,Upload:,14.20,Mbit/s,2016-11-24 13:43:29
Ping:,17.908,ms,Download:,92.24,Mbit/s,Upload:,11.36,Mbit/s,2016-11-24 13:43:59
Ping:,19.291,ms,Download:,92.41,Mbit/s,Upload:,14.03,Mbit/s,2016-11-24 13:44:31
Ping:,20.117,ms,Download:,90.39,Mbit/s,Upload:,14.17,Mbit/s,2016-11-24 13:45:01
Ping:,19.579,ms,Download:,92.55,Mbit/s,Upload:,14.06,Mbit/s,2016-11-24 13:45:32
Ping:,16.364,ms,Download:,78.51,Mbit/s,Upload:,13.71,Mbit/s,2016-11-24 13:46:02
Ping:,19.147,ms,Download:,91.49,Mbit/s,Upload:,14.17,Mbit/s,2016-11-24 13:46:34
Ping:,19.342,ms,Download:,91.46,Mbit/s,Upload:,14.16,Mbit/s,2016-11-24 13:47:04
Ping:,21.959,ms,Download:,91.19,Mbit/s,Upload:,14.37,Mbit/s,2016-11-24 13:47:34
Ping:,19.951,ms,Download:,91.64,Mbit/s,Upload:,13.87,Mbit/s,2016-11-24 13:48:04
Ping:,17.13,ms,Download:,90.47,Mbit/s,Upload:,14.38,Mbit/s,2016-11-24 13:48:36
Ping:,19.822,ms,Download:,91.90,Mbit/s,Upload:,14.19,Mbit/s,2016-11-24 13:49:06
Ping:,20.559,ms,Download:,91.96,Mbit/s,Upload:,14.18,Mbit/s,2016-11-24 13:49:35
